GameDuration,BlueTeamWin,BlueTeamTowersTaken,BlueTeamInhibitorsTaken,BlueTeamDragonsTaken,BlueTeamGrubsTaken,BlueTeamRiftheraldTaken,BlueTeamBaronTaken,BluePlayer1Role,BluePlayer1ChampionId,BluePlayer1GoldSpent,BluePlayer1Level,BluePlayer1Kills,BluePlayer1Deaths,BluePlayer1Assists,BluePlayer1CreepScore,BluePlayer1WardScore,BluePlayer2Role,BluePlayer2ChampionId,BluePlayer2GoldSpent,BluePlayer2Level,BluePlayer2Kills,BluePlayer2Deaths,BluePlayer2Assists,BluePlayer2CreepScore,BluePlayer2WardScore,BluePlayer3Role,BluePlayer3ChampionId,BluePlayer3GoldSpent,BluePlayer3Level,BluePlayer3Kills,BluePlayer3Deaths,BluePlayer3Assists,BluePlayer3CreepScore,BluePlayer3WardScore,BluePlayer4Role,BluePlayer4ChampionId,BluePlayer4GoldSpent,BluePlayer4Level,BluePlayer4Kills,BluePlayer4Deaths,BluePlayer4Assists,BluePlayer4CreepScore,BluePlayer4WardScore,BluePlayer5Role,BluePlayer5ChampionId,BluePlayer5GoldSpent,BluePlayer5Level,BluePlayer5Kills,BluePlayer5Deaths,BluePlayer5Assists,BluePlayer5CreepScore,BluePlayer5WardScore,RedTeamTowersTaken,RedTeamInhibitorsTaken,RedTeamDragonsTaken,RedTeamGrubsTaken,RedTeamRiftheraldTaken,RedTeamBaronTaken,RedPlayer1Role,RedPlayer1ChampionId,RedPlayer1GoldSpent,RedPlayer1Level,RedPlayer1Kills,RedPlayer1Deaths,RedPlayer1Assists,RedPlayer1CreepScore,RedPlayer1WardScore,RedPlayer2Role,RedPlayer2ChampionId,RedPlayer2GoldSpent,RedPlayer2Level,RedPlayer2Kills,RedPlayer2Deaths,RedPlayer2Assists,RedPlayer2CreepScore,RedPlayer2WardScore,RedPlayer3Role,RedPlayer3ChampionId,RedPlayer3GoldSpent,RedPlayer3Level,RedPlayer3Kills,RedPlayer3Deaths,RedPlayer3Assists,RedPlayer3CreepScore,RedPlayer3WardScore,RedPlayer4Role,RedPlayer4ChampionId,RedPlayer4GoldSpent,RedPlayer4Level,RedPlayer4Kills,RedPlayer4Deaths,RedPlayer4Assists,RedPlayer4CreepScore,RedPlayer4WardScore,RedPlayer5Role,RedPlayer5ChampionId,RedPlayer5GoldSpent,RedPlayer5Level,RedPlayer5Kills,RedPlayer5Deaths,RedPlayer5Assists,RedPlayer5CreepScore,RedPlayer5WardScore
1152,1,3,0,2,0,0,0,TOP,203,11275,15,12,4,3,150,14,JUNGLE,234,6300,13,3,2,3,151,17,MIDDLE,142,6025,14,8,1,8,172,14,BOTTOM,202,10075,12,7,4,5,159,16,SUPPORT,412,5440,10,0,0,16,29,36,0,0,0,3,0,0,TOP,2,5800,11,2,7,0,105,6,JUNGLE,126,7650,11,2,6,3,109,19,MIDDLE,99,6000,11,2,5,1,121,8,BOTTOM,42,7800,11,3,6,1,142,6,SUPPORT,7,5040,10,1,6,2,35,43
2174,1,9,1,3,3,0,1,TOP,67,15730,20,8,7,4,269,37,JUNGLE,62,16008,18,15,8,12,200,28,MIDDLE,4,15000,18,2,8,6,283,38,BOTTOM,21,18650,18,7,7,10,344,30,SUPPORT,497,9220,16,1,4,22,47,121,6,1,3,0,1,1,TOP,163,12250,19,4,8,11,273,38,JUNGLE,121,16900,18,11,8,7,185,37,MIDDLE,711,15900,18,8,8,11,274,41,BOTTOM,202,18050,18,6,1,13,321,38,SUPPORT,223,10130,15,4,8,13,54,94
1878,0,3,0,1,3,1,0,TOP,82,10200,16,3,12,9,130,23,JUNGLE,113,11800,15,8,9,10,133,21,MIDDLE,55,11375,15,4,10,9,180,33,BOTTOM,21,18150,16,17,7,9,230,26,SUPPORT,50,11560,15,6,11,16,94,65,10,1,3,0,0,0,TOP,80,14100,19,12,3,7,247,26,JUNGLE,233,12250,16,6,10,16,142,29,MIDDLE,238,16200,17,17,6,5,232,28,BOTTOM,30,11475,17,9,7,15,204,29,SUPPORT,910,10715,13,5,12,18,46,83
2055,0,4,1,2,3,0,0,TOP,23,14050,18,8,13,2,218,24,JUNGLE,777,14675,18,7,12,3,227,20,MIDDLE,90,16500,18,5,9,8,278,39,BOTTOM,110,15350,17,7,9,7,193,21,SUPPORT,432,11500,16,6,16,6,33,25,14,6,3,0,1,2,TOP,516,11650,20,5,7,14,137,7,JUNGLE,11,14200,17,10,9,10,150,16,MIDDLE,45,15350,18,22,2,7,216,21,BOTTOM,22,20050,18,16,6,8,272,26,SUPPORT,143,11180,17,6,9,26,78,84
1923,0,4,0,2,3,0,0,TOP,31,12800,18,9,9,4,207,27,JUNGLE,154,11350,16,4,9,14,126,16,MIDDLE,238,18762,17,13,8,5,255,17,BOTTOM,222,12675,15,6,14,6,254,26,SUPPORT,117,9060,14,1,11,16,32,92,9,1,3,0,1,2,TOP,67,15608,20,15,3,9,292,29,JUNGLE,102,15083,18,11,3,14,237,25,MIDDLE,127,12420,17,6,12,9,224,28,BOTTOM,145,15100,17,13,10,20,208,25,SUPPORT,111,11725,16,6,5,30,32,99
2154,0,5,0,1,2,1,0,TOP,54,13200,18,9,3,4,192,34,JUNGLE,133,16175,18,7,8,11,230,35,MIDDLE,142,13850,17,10,11,5,220,21,BOTTOM,145,13650,16,2,9,8,281,33,SUPPORT,50,9865,14,5,10,11,69,55,7,1,3,1,0,1,TOP,8,11725,19,4,5,10,240,38,JUNGLE,64,12050,18,2,7,15,189,25,MIDDLE,105,15100,18,11,9,6,237,33,BOTTOM,29,19050,18,24,7,4,232,15,SUPPORT,147,9835,16,0,5,29,67,100
2929,0,4,0,1,0,0,0,TOP,24,22893,20,7,13,9,356,35,JUNGLE,33,17275,18,7,10,23,209,39,MIDDLE,147,18050,18,11,8,25,274,69,BOTTOM,81,21908,18,20,5,7,361,52,SUPPORT,143,12640,17,3,14,17,128,154,10,1,6,3,0,1,TOP,897,17230,20,7,7,12,284,27,JUNGLE,28,16075,18,7,10,14,244,43,MIDDLE,103,21650,18,23,13,6,296,39,BOTTOM,221,22350,18,7,6,12,507,32,SUPPORT,63,12145,18,6,12,19,75,195
1564,0,2,0,0,3,0,0,TOP,98,8500,16,1,5,8,184,14,JUNGLE,245,10350,14,6,3,5,168,30,MIDDLE,45,11575,15,7,2,6,228,26,BOTTOM,901,10200,13,5,13,5,149,25,SUPPORT,111,5610,11,0,11,11,22,54,8,1,3,0,1,1,TOP,875,10280,16,6,4,5,186,10,JUNGLE,28,9200,15,8,3,5,140,20,MIDDLE,4,8450,16,3,4,9,198,32,BOTTOM,221,14500,15,16,4,11,229,28,SUPPORT,26,7185,13,1,4,23,47,89
1777,1,10,1,2,3,0,1,TOP,126,10925,18,9,7,5,238,27,JUNGLE,59,15200,18,12,4,17,206,17,MIDDLE,5,13425,18,13,8,10,224,18,BOTTOM,17,11725,15,2,6,10,232,26,SUPPORT,267,8225,14,1,4,17,32,79,4,0,2,0,1,0,TOP,39,12225,17,5,10,5,233,12,JUNGLE,56,14925,17,13,5,8,198,30,MIDDLE,157,10910,15,6,10,8,211,12,BOTTOM,22,11675,14,4,6,6,246,25,SUPPORT,902,7470,13,1,6,15,37,56
2105,1,8,1,3,0,0,0,TOP,31,10050,18,5,6,12,136,27,JUNGLE,104,15050,18,18,8,8,196,39,MIDDLE,55,11100,16,4,10,9,198,19,BOTTOM,22,17550,17,5,7,7,321,28,SUPPORT,90,10415,15,3,8,16,73,72,6,0,2,3,0,2,TOP,67,14400,20,14,6,6,226,22,JUNGLE,79,14700,18,7,8,3,203,39,MIDDLE,134,9810,17,0,7,8,208,24,BOTTOM,51,18700,17,15,7,6,291,31,SUPPORT,267,10830,15,3,7,18,28,83
