ID;Name;Gold
1001;Boots;300
1004;Faerie Charm;200
1006;Rejuvenation Bead;300
1011;Giant's Belt;900
1018;Cloak of Agility;600
1026;Blasting Wand;850
1027;Sapphire Crystal;300
1028;Ruby Crystal;400
1029;Cloth Armor;300
1031;Chain Vest;800
1033;Null-Magic Mantle;400
1036;Long Sword;350
1037;Pickaxe;875
1038;B. F. Sword;1300
1042;Dagger;250
1043;Recurve Bow;700
1052;Amplifying Tome;400
1053;Vampiric Scepter;900
1054;Doran's Shield;450
1055;Doran's Blade;450
1056;Doran's Ring;400
1057;Negatron Cloak;850
1058;Needlessly Large Rod;1200
1082;Dark Seal;350
1083;Cull;450
1086;Doran's Bow;400
1101;Scorchclaw Pup;450
1102;Gustwalker Hatchling;450
1103;Mosstomper Seedling;450
1105;Mosstomper Seedling;450
1106;Gustwalker Hatchling;450
1107;Scorchclaw Pup;450
1120;Doran's Helm;450
1500;Penetrating Bullets;0
1501;Fortification;0
1502;Reinforced Armor;0
1503;Warden's Eye;0
1505;Reinforced Armor;0
1506;Reinforced Armor;0
1507;Overcharged;0
1508;Anti-tower Socks;0
1509;Gusto;0
1510;Phreakish Gusto;0
1511;Super Mech Armor;0
1512;Super Mech Power Field;0
1515;Turret Plating;0
1516;Structure Bounty;0
1517;Structure Bounty;0
1518;Structure Bounty;0
1519;Structure Bounty;0
1520;OvererchargedHA;0
1521;Fortification;0
1522;Tower Power-Up;0
1523;Overcharged;0
1524;Overgrowth;0
2001;Recall;60
2003;Health Potion;50
2007;Disabled Recall;60
2010;Total Biscuit of Everlasting Will;50
2019;Steel Sigil;1100
2020;The Brutalizer;1337
2021;Tunneler;1150
2022;Glowing Mote;250
2031;Refillable Potion;150
2033;Corrupting Potion;500
2051;Guardian's Horn;950
2052;Poro-Snax;0
2055;Control Ward;75
2065;Shurelya's Battlesong;2200
2138;Elixir of Iron;500
2139;Elixir of Sorcery;500
2140;Elixir of Wrath;500
2141;Cappa Juice;300
2150;Elixir of Skill;0
2151;Elixir of Avarice;50
2152;Elixir of Force;50
2403;Minion Dematerializer;0
2420;Seeker's Armguard;1600
2421;Shattered Armguard;1600
2422;Slightly Magical Footwear;300
2501;Overlord's Bloodmail;3300
2502;Unending Despair;2800
2503;Blackfire Torch;2800
2504;Kaenic Rookern;2900
2508;Fated Ashes;900
2510;Dusk and Dawn;3100
2512;Fiendhunter Bolts;2650
2517;Endless Hunger;3100
2520;Bastionbreaker;3200
2522;Actualizer;2800
2523;Hexoptics C44;2800
2524;Bandlepipes;2300
2525;Protoplasm Harness;2500
2526;Whispering Circlet;2250
2530;Diadem of Songs;2250
3002;Trailblazer;2400
3003;Archangel's Staff;2900
3004;Manamune;2900
3006;Berserker's Greaves;1100
3008;Gluttonous Greaves;1000
3009;Boots of Swiftness;1000
3010;Symbiotic Soles;900
3011;Chemtech Putrifier;1900
3013;Synchronized Souls;900
3020;Sorcerer's Shoes;1100
3024;Glacial Buckler;900
3026;Guardian Angel;3200
3031;Infinity Edge;3500
3032;Yun Tal Wildarrows;3100
3033;Mortal Reminder;3000
3035;Last Whisper;1450
3036;Lord Dominik's Regards;3300
3040;Seraph's Embrace;2900
3041;Mejai's Soulstealer;1500
3042;Muramana;2900
3044;Phage;1100
3046;Phantom Dancer;2650
3047;Plated Steelcaps;1200
3050;Zeke's Convergence;2200
3051;Hearthbound Axe;1200
3053;Sterak's Gage;3200
3057;Sheen;900
3065;Spirit Visage;2700
3066;Winged Moonplate;800
3067;Kindlegem;800
3068;Sunfire Aegis;2700
3070;Tear of the Goddess;400
3071;Black Cleaver;3000
3072;Bloodthirster;3400
3073;Experimental Hexplate;3000
3074;Ravenous Hydra;3300
3075;Thornmail;2450
3076;Bramble Vest;800
3077;Tiamat;1200
3078;Trinity Force;3333
3082;Warden's Mail;1000
3083;Warmog's Armor;3100
3084;Heartsteel;3000
3085;Runaan's Hurricane;2650
3086;Zeal;1200
3087;Statikk Shiv;3000
3089;Rabadon's Deathcap;3500
3091;Wit's End;2800
3094;Rapid Firecannon;2650
3097;Stormrazor;3200
3100;Lich Bane;2900
3102;Banshee's Veil;3000
3107;Redemption;2300
3108;Fiendish Codex;850
3109;Knight's Vow;2300
3110;Frozen Heart;2500
3111;Mercury's Treads;1250
3112;Guardian's Orb;950
3113;Aether Wisp;900
3114;Forbidden Idol;600
3115;Nashor's Tooth;2900
3116;Rylai's Crystal Scepter;2600
3117;Mobility Boots;1000
3118;Malignance;2700
3119;Winter's Approach;2400
3121;Fimbulwinter;2400
